team,primary_color,secondary_color
9z Globant,#7334ff,white
Team Vitality,#ffff00,white
Aurora,#00ffff,white
MIBR,#2d3f67,white
BetBoom Team,#fe4656,white
Cloud9,#00aeef,white
Falcons,#01be6e,white
Rare Atom,#ac4fc6,white
Complexity,#002b5c,white
OG,#002553,white
ECSTATIC,#a18b59,white
G2 Esports,#281f25,white
Eternal Fire,#a19270,white
FaZe Clan,red,white
Rebels Gaming,#ff0f26,white
Team Spirit,black,white
ENCE,#ffc05b,white
HEROIC,red,white
BIG,white,white
Imperial Esports,#0bd765,white
Team Liquid,#33436e,white
Monte,#00d4ff,white
Apeks,#ff6400,white
Natus Vincere,#fff123,white
Virtus.Pro,#f84e02,white
The MongolZ,#ecb955,white
